학교명,학급유형,학급 수,"2027학년도
입학 가능 인원","2028학년도
입학 가능 인원","2029학년도
입학 가능 인원",,"2026학년도
졸업 예정 인원","2026~2027
졸업 예정 인원","2026~2028
졸업 예정 인원",,"2027학년도
입학 예정 인원","2027
졸업 예정 인원","2027~2028
졸업 예정 인원"
교문중,특수학급,2,9,9,12,,4,4,7,,,0,3
구리여중,특수학급,2,6,9,12,,6,9,12,,,3,6
"구리여중
(전일제)",복합특수학급,1,1,2,4,,1,2,4,,,1,3
구리중,특수학급,1,3,5,6,,3,5,6,,,2,3
동구중,특수학급,1,1,5,6,,1,5,6,,,4,5
인창중,특수학급,2,6,8,12,,4,6,10,,,2,6
토평중,특수학급,3,10,14,18,,9,13,17,,,4,8
"가운중
(시간제)",특수학급,1,1,5,6,,1,5,6,,,4,5
"가운중
(전일제)",복합특수학급,3,4,8,12,,4,8,12,,,4,8
"광릉중
(시간제)",특수학급,1,4,5,6,,1,2,3,,,1,2
"광릉중
(전일제)",복합특수학급,1,0,0,4,,0,0,4,,,0,4
금곡중,특수학급,1,4,5,6,,2,3,4,,,1,2
남양주다산중,특수학급,2,4,8,12,,2,6,10,,,4,8
다산새봄중,특수학급,3,9,14,18,,7,12,16,,,5,9
다산한강중,특수학급,1,2,6,6,,3,7,7,,,4,4
덕소중,특수학급,2,7,10,12,,3,6,8,,,3,5
도농중,특수학급,2,3,6,12,,4,7,13,,,3,9
마석중,특수학급,2,4,8,12,,6,10,14,,,4,8
별가람중,특수학급,1,1,5,6,,3,7,8,,,4,5
별내중,특수학급,1,1,4,6,,1,4,6,,,3,5
송라중,특수학급,3,6,13,18,,6,13,18,,,7,12
수동중(사립),특수학급,1,2,4,6,,2,4,6,,,2,4
양오중,특수학급,2,6,10,12,,1,5,7,,,4,6
어람중,특수학급,1,1,4,6,,4,7,9,,,3,5
예봉중,특수학급,1,5,6,6,,2,3,3,,,1,1
오남중,특수학급,1,3,4,6,,1,2,4,,,1,3
와부중,특수학급,1,2,5,6,,4,7,8,,,3,4
장내중,특수학급,1,0,3,6,,3,6,9,,,3,6
주곡중,특수학급,1,1,5,6,,2,6,7,,,4,5
진건중,특수학급,2,7,9,12,,3,5,8,,,2,5
진접중,특수학급,2,5,9,12,,6,10,13,,,4,7
천마중,특수학급,1,3,3,6,,4,4,7,,,0,3
퇴계원중,특수학급,3,12,15,18,,8,11,14,,,3,6
판곡중,특수학급,1,-1,2,6,,0,3,7,,,3,7
평내중,특수학급,2,3,9,12,,1,7,10,,,6,9
평내중,순회학급,1,2,4,4,,2,4,4,,,2,2
풍양중,특수학급,2,2,8,12,,4,10,14,,,6,10
하랑중,특수학급,1,3,3,6,,1,1,4,,,0,3
한별중,특수학급,2,4,7,12,,3,6,11,,,3,8
호평중,특수학급,2,4,7,12,,1,4,9,,,3,8
화접중,특수학급,2,5,9,12,,3,7,10,,,4,7
경은학교(중학교),순회학급,1,3,3,4,,3,3,4,,,0,1
갈매고,특수학급,1,3,5,7,,1,3,5,,,2,4
구리여자고,특수학급,2,6,10,14,,1,5,9,,,4,8
수택고,특수학급,2,8,10,14,,8,10,14,,,2,6
수택고,복합특수학급,2,1,7,8,,1,7,8,,,6,7
인창고,특수학급,2,4,6,14,,4,6,14,,,2,10
토평고,특수학급,3,10,13,21,,5,8,16,,,3,11
가운고,특수학급,1,2,6,7,,2,6,7,,,4,5
남양주고,특수학급,2,5,12,14,,6,13,15,,,7,9
남양주다산고,특수학급,2,8,12,14,,6,10,12,,,4,6
도농고,특수학급,1,2,3,7,,4,5,9,,,1,5
도농고,순회학급,1,3,4,4,,3,4,4,,,1,1
마석고,특수학급,3,7,13,21,,7,13,21,,,6,14
별가람고,특수학급,2,7,11,14,,5,9,12,,,4,7
별가람고,복합특수학급,2,2,2,8,,2,2,8,,,0,6
별내고,특수학급,2,7,10,14,,2,5,9,,,3,7
오남고,특수학급,3,8,12,21,,7,11,20,,,4,13
와부고,특수학급,3,7,11,21,,9,13,23,,,4,14
진건고,특수학급,2,6,9,14,,8,11,16,,,3,8
진접고,특수학급,3,7,13,21,,7,13,21,,,6,14
청학고,특수학급,1,5,5,7,,0,0,2,,,0,2
퇴계원고,특수학급,2,4,8,14,,5,9,15,,,4,10
판곡고,특수학급,2,3,7,14,,3,7,14,,,4,11
평내고,특수학급,2,5,9,14,,7,11,16,,,4,9
호평고,특수학급,3,11,14,21,,5,8,15,,,3,10
호평고,순회학급,1,4,4,4,,3,3,3,,,0,0
경은학교(고등학교),순회학급,1,0,2,4,,0,2,4,,,2,4
